species,Year,JulianDay,Location
Ctenodon martii,1985,83,NA
Ctenodon martii,1985,106,NA
Ctenodon martii,1984,82,NA
Ctenodon martii,1984,89,NA
Ctenodon martii,1984,80,NA
Ctenodon martii,1980,42,NA
Ctenodon martii,1974,52,NA
Ctenodon martii,1971,115,NA
Ctenodon martii,1984,80,NA
Ctenodon martii,1984,89,NA
Ctenodon martii,2010,114,NA
Ctenodon martii,2005,85,NA
Ctenodon martii,2004,94,NA
Ctenodon martii,1994,20,NA
Ctenodon martii,1994,72,NA
Alafia barteri,1963,219,NA
Alafia barteri,1925,224,NA
Alafia barteri,1970,217,NA
Alafia barteri,1949,213,NA
Alafia barteri,1897,231,NA
Alafia barteri,1897,231,NA
Alafia barteri,1897,231,NA
Alafia barteri,1897,231,NA
Alafia barteri,1981,224,NA
Alafia barteri,1970,217,NA
Alafia barteri,1999,241,NA
Alafia barteri,1999,241,NA
Alafia barteri,1999,242,NA
Alafia barteri,NA,NA,NA
Alafia barteri,1970,217,NA
Alafia barteri,NA,NA,NA
Alafia barteri,1970,217,NA
Alafia barteri,1981,224,NA
Alafia barteri,1999,242,NA
Alafia barteri,2000,222,NA
Alafia barteri,1981,224,NA
Alafia barteri,1979,235,NA
Alafia barteri,1956,238,NA
Alafia barteri,1999,241,NA
Alafia barteri,1979,235,NA
